"","date","type","team","opp","location","conf","opp_conf","pts","opp_pts","fga","oreb","to","fta","opp_fga","opp_oreb","opp_to","opp_fta","off_ppp","def_ppp","adj_o","adj_d","tempo","avg_marg","net","quad"
"80",2024-11-04,"nc","Colorado St.","North Dakota","H","Mountain West","Summit",82,56,60,5,10,19,48,5,21,23,110.1,75.2,96.1,77.3,74.5,13.0776,305,"Quadrant 4"
"81",2024-11-04,"nc","Utah","Alcorn St.","H","Big 12","SWAC",100,59,57,12,10,25,55,14,14,22,151.1,89.2,129.3,104.4,66.2,14.036,352,"Quadrant 4"
"82",2024-11-04,"nc","Siena","Brown","H","Metro Atlantic","Ivy",72,71,66,20,13,28,64,15,16,13,100.4,99,98.8,102.1,63.8,0.271667,184,"Quadrant 4"
"83",2024-11-04,"nc","Florida St.","Northern Kentucky","H","ACC","Horizon",74,62,63,7,12,18,49,5,22,23,96.4,80.8,98.5,86.8,76.7,9.48941,193,"Quadrant 4"
"84",2024-11-04,"nc","Memphis","Missouri","H","American","SEC",83,75,57,13,16,30,57,10,14,25,112.8,102,112.7,97.2,73.6,-3.00464,44,"Quadrant 2"
"85",2024-11-04,"nc","George Washington","Mercyhurst","H","Atlantic 10","Northeast",76,59,53,15,12,34,56,11,13,13,116.6,90.5,100.7,108.1,65.2,0.553515,337,"Quadrant 4"
"86",2024-11-04,"nc","La Salle","American","H","Atlantic 10","Patriot",65,52,55,12,7,18,55,9,10,8,109.8,87.9,101.3,93.2,59.2,5.63436,269,"Quadrant 4"
"87",2024-11-04,"nc","Colorado","Eastern Washington","H","Big 12","Big Sky",76,56,59,15,18,17,58,9,15,14,108,79.6,91.7,90.4,70.4,-4.54917,253,"Quadrant 4"
"88",2024-11-04,"nc","St. Bonaventure","Cal St. Northridge","H","Atlantic 10","Big West",70,56,55,12,18,34,54,7,21,16,91.7,73.3,94.1,74.2,76.4,9.40551,96,"Quadrant 3"
"89",2024-11-04,"nc","Miami FL","Fairleigh Dickinson","H","ACC","Northeast",113,72,69,10,8,18,53,6,15,24,151.7,96.7,133.4,105.9,74.5,17.0521,304,"Quadrant 4"
"90",2024-11-04,"nc","Providence","Central Connecticut","H","Big East","Northeast",59,55,53,13,16,15,54,10,7,26,93.3,87,93.3,96,63.2,-1.72042,135,"Quadrant 3"
"91",2024-11-04,"nc","Wake Forest","Coppin St.","H","ACC","MEAC",64,49,56,9,12,23,60,14,20,15,89.5,68.5,87.7,80,71.5,14.5497,358,"Quadrant 4"
"92",2024-11-04,"nc","West Virginia","Robert Morris","H","Big 12","Horizon",87,59,60,6,11,12,68,16,14,12,122.2,82.9,123.4,86.6,71.2,20.7359,221,"Quadrant 4"
"93",2024-11-04,"nc","Oklahoma","Lindenwood","H","SEC","Ohio Valley",93,60,65,11,12,17,65,11,12,14,126.8,81.8,119.9,98,73.5,14.0248,311,"Quadrant 4"
"94",2024-11-04,"nc","UCLA","Rider","H","Big Ten","Metro Atlantic",85,50,65,15,9,12,63,18,13,13,131.9,77.6,116.1,89,64.4,14.3582,323,"Quadrant 4"
"95",2024-11-04,"nc","South Florida","Florida","N","American","SEC",83,98,63,11,16,17,63,11,10,33,108,127.5,123.7,104.7,76.9,-0.276408,8,"Quadrant 1"
"96",2024-11-04,"nc","Old Dominion","Buffalo","H","Sun Belt","Mid-American",82,83,77,22,15,8,57,5,13,17,111.7,113,99.6,126,73.4,-3.57667,327,"Quadrant 4"
"97",2024-11-04,"nc","Louisville","Morehead St.","H","ACC","Ohio Valley",93,45,71,14,5,28,52,12,21,27,124.7,60.4,110.2,71.3,74.6,19.1882,306,"Quadrant 4"
"98",2024-11-04,"nc","Illinois St.","Tennessee Martin","H","Missouri Valley","Ohio Valley",65,67,62,10,12,28,66,12,15,18,84,86.5,83.6,95.1,77.4,-1.91125,274,"Quadrant 4"
"99",2024-11-04,"nc","Bradley","Southeast Missouri St.","H","Missouri Valley","Ohio Valley",88,60,54,10,16,25,57,9,17,10,124.3,84.7,120.8,92.8,70.8,14.1277,228,"Quadrant 4"
"100",2024-11-04,"nc","George Mason","North Carolina Central","H","Atlantic 10","MEAC",75,58,51,18,17,41,57,12,10,25,110,85.1,98.9,91.1,68.2,9.02464,302,"Quadrant 4"
"101",2024-11-04,"nc","Xavier","Texas Southern","H","Big East","SWAC",78,69,51,7,9,41,58,8,17,13,107.1,94.7,100.7,107.8,72.8,0.876632,340,"Quadrant 4"
"102",2024-11-04,"nc","VCU","Bellarmine","H","Atlantic 10","Atlantic Sun",84,65,55,12,16,17,56,12,16,13,126.1,97.6,106.5,104.4,66.6,8.75292,355,"Quadrant 4"
"103",2024-11-04,"nc","TCU","Florida A&M","H","Big 12","SWAC",105,59,75,18,5,16,54,9,14,21,151.5,85.2,141.5,101.5,69.3,24.8563,343,"Quadrant 4"
"104",2024-11-04,"nc","Penn St.","Binghamton","H","Big Ten","America East",108,66,69,16,5,32,56,11,21,15,147.6,90.2,135.1,101.6,73.2,19.6295,287,"Quadrant 4"
"105",2024-11-04,"nc","Purdue","Texas A&M Corpus Chris","H","Big Ten","Southland",90,73,55,10,16,27,67,7,9,7,123.2,99.9,117.3,99.8,73.1,7.05467,160,"Quadrant 3"
"106",2024-11-04,"nc","Alabama","UNC Asheville","H","SEC","Big South",110,54,60,14,10,37,73,14,9,14,148.4,72.9,130.7,81.4,74.1,18.1684,211,"Quadrant 4"
"107",2024-11-04,"nc","South Carolina","North Florida","H","SEC","Atlantic Sun",71,74,56,9,10,25,69,15,9,13,102.9,107.2,93.4,102.1,69,2.64625,233,"Quadrant 4"
"108",2024-11-04,"nc","UAB","Vermont","H","American","America East",62,67,68,18,7,15,58,8,5,16,97.8,105.7,98.2,121.2,63.4,-6.04208,264,"Quadrant 4"
"109",2024-11-04,"nc","California","Cal St. Bakersfield","H","ACC","Big West",86,73,57,15,11,40,62,14,17,18,118.2,100.3,113.3,101.8,72.8,9.48691,214,"Quadrant 4"
"110",2024-11-04,"nc","Kansas","Howard","H","Big 12","MEAC",87,57,53,5,14,16,58,8,17,12,122.3,80.1,110.2,79,71.2,20.1859,295,"Quadrant 4"
"111",2024-11-04,"nc","Loyola MD","Columbia","H","Patriot","Ivy",78,81,63,10,16,18,56,8,13,30,102.1,106,99.1,102.9,76.4,4.58083,127,"Quadrant 3"
"112",2024-11-04,"nc","Loyola Chicago","Chicago St.","H","Atlantic 10","Northeast",79,72,63,12,9,29,62,10,13,20,106.6,97.1,102,117.2,74.1,3.52833,354,"Quadrant 4"
"113",2024-11-04,"nc","Appalachian St.","Miami OH","H","Sun Belt","Mid-American",63,77,53,10,19,21,59,8,14,13,88,107.6,88.7,105,71.6,-2.37303,156,"Quadrant 3"
"114",2024-11-04,"nc","Mississippi","LIU Brooklyn","H","SEC","Northeast",90,60,57,13,14,32,58,11,16,24,122,81.3,114.3,97.2,73.8,10.7071,301,"Quadrant 4"
"115",2024-11-04,"nc","Pittsburgh","Radford","H","ACC","Big South",96,56,65,11,8,21,58,12,14,20,135.7,79.2,122.1,87,70.7,12.4478,180,"Quadrant 4"
"116",2024-11-04,"nc","Houston","Jackson St.","H","Big 12","SWAC",97,40,67,11,9,7,47,8,21,15,143.2,59.1,137.5,73.6,67.7,26.7587,317,"Quadrant 4"
"117",2024-11-05,"nc","Kansas St.","New Orleans","H","Big 12","Southland",89,65,73,19,9,12,64,14,12,7,132.8,97,117.4,112.5,67,6.429,336,"Quadrant 4"
"118",2024-11-05,"nc","Washington","UC Davis","H","Big Ten","Big West",79,73,62,12,15,38,66,13,17,26,95.5,88.3,98.4,100.7,82.7,2.88375,219,"Quadrant 4"
"119",2024-11-05,"nc","Arizona St.","Idaho St.","H","Big 12","Big Sky",55,48,55,8,14,12,67,16,9,13,82.8,72.2,80.2,77.5,66.4,3.94542,167,"Quadrant 4"
"120",2024-11-05,"nc","North Texas","Evansville","H","American","Missouri Valley",80,63,57,15,10,24,47,3,13,17,124.5,98.1,129.1,107.7,64.2,16.335,308,"Quadrant 4"
"121",2024-11-05,"nc","Texas Tech","Bethune Cookman","H","Big 12","SWAC",94,61,63,12,12,10,60,5,9,10,137.7,89.4,135.8,102.8,68.2,14.0836,243,"Quadrant 4"
"122",2024-11-05,"nc","Rice","FIU","H","American","CUSA",77,70,52,9,16,38,63,11,11,24,101.7,92.4,105.6,100.5,75.7,4.69095,225,"Quadrant 4"
"123",2024-11-05,"nc","San Francisco","Cal Poly","H","WCC","Big West",86,78,62,8,15,28,64,10,19,15,105.9,96,98.8,98.3,81.2,2.90917,209,"Quadrant 4"
"124",2024-11-05,"nc","BYU","Central Arkansas","H","Big 12","Atlantic Sun",88,50,72,20,11,11,56,11,18,13,128.1,72.8,116.5,88.3,68.7,15.3985,342,"Quadrant 4"
"125",2024-11-06,"nc","Notre Dame","Stonehill","H","ACC","Northeast",89,60,61,17,14,22,56,7,10,18,130.9,88.2,118.6,96.2,68,12.9083,268,"Quadrant 4"
"126",2024-11-06,"nc","Connecticut","Sacred Heart","H","Big East","Metro Atlantic",92,56,62,14,13,23,56,6,15,18,126.5,77,113.5,85.3,72.7,11.5459,252,"Quadrant 4"
"127",2024-11-06,"nc","Georgetown","Lehigh","H","Big East","Patriot",85,77,64,17,14,23,59,8,15,17,116.4,105.5,107.1,113.5,73,1.54985,267,"Quadrant 4"
"128",2024-11-06,"nc","Boise St.","Oakland","H","Mountain West","Horizon",87,43,62,12,7,14,66,13,10,9,132.9,65.7,122.6,71.3,65.5,19.9426,229,"Quadrant 4"
"129",2024-11-06,"nc","Pepperdine","Western Illinois","H","WCC","Ohio Valley",77,64,52,6,13,19,61,7,9,11,113,93.9,100.2,100.3,68.1,6.26096,294,"Quadrant 4"
