"","team","position","type","count"
"298","Arkansas","DL","Incoming",2
"299","Arkansas","DL","Outgoing",0
"300","Arkansas","DL","Delta",2
"301","Arkansas","EDGE","Incoming",3
"302","Arkansas","EDGE","Outgoing",1
"303","Arkansas","EDGE","Delta",2
"304","Arkansas","IOL","Incoming",2
"305","Arkansas","IOL","Outgoing",6
"306","Arkansas","IOL","Delta",-4
"307","Arkansas","K","Incoming",1
"308","Arkansas","K","Outgoing",0
"309","Arkansas","K","Delta",1
"310","Arkansas","LB","Incoming",2
"311","Arkansas","LB","Outgoing",5
"312","Arkansas","LB","Delta",-3
"313","Arkansas","OT","Incoming",3
"314","Arkansas","OT","Outgoing",0
"315","Arkansas","OT","Delta",3
"316","Arkansas","P","Incoming",0
"317","Arkansas","P","Outgoing",1
"318","Arkansas","P","Delta",-1
"319","Arkansas","QB","Incoming",1
"320","Arkansas","QB","Outgoing",2
"321","Arkansas","QB","Delta",-1
"322","Arkansas","RB","Incoming",2
"323","Arkansas","RB","Outgoing",4
"324","Arkansas","RB","Delta",-2
"325","Arkansas","S","Incoming",3
"326","Arkansas","S","Outgoing",5
"327","Arkansas","S","Delta",-2
"328","Arkansas","TE","Incoming",2
"329","Arkansas","TE","Outgoing",4
"330","Arkansas","TE","Delta",-2
"331","Arkansas","WR","Incoming",7
"332","Arkansas","WR","Outgoing",6
"333","Arkansas","WR","Delta",1
"334","Arkansas State","CB","Incoming",3
"335","Arkansas State","CB","Outgoing",1
"336","Arkansas State","CB","Delta",2
"337","Arkansas State","DL","Incoming",5
"338","Arkansas State","DL","Outgoing",3
"339","Arkansas State","DL","Delta",2
"340","Arkansas State","EDGE","Incoming",0
"341","Arkansas State","EDGE","Outgoing",2
"342","Arkansas State","EDGE","Delta",-2
"343","Arkansas State","IOL","Incoming",6
"344","Arkansas State","IOL","Outgoing",2
"345","Arkansas State","IOL","Delta",4
"346","Arkansas State","K","Incoming",0
"347","Arkansas State","K","Outgoing",1
"348","Arkansas State","K","Delta",-1
"349","Arkansas State","LB","Incoming",5
"350","Arkansas State","LB","Outgoing",1
"351","Arkansas State","LB","Delta",4
"352","Arkansas State","OT","Incoming",0
"353","Arkansas State","OT","Outgoing",1
"354","Arkansas State","OT","Delta",-1
"355","Arkansas State","P","Incoming",0
"356","Arkansas State","P","Outgoing",1
"357","Arkansas State","P","Delta",-1
"358","Arkansas State","QB","Incoming",2
"359","Arkansas State","QB","Outgoing",1
"360","Arkansas State","QB","Delta",1
"361","Arkansas State","RB","Incoming",1
"362","Arkansas State","RB","Outgoing",0
"363","Arkansas State","RB","Delta",1
"364","Arkansas State","S","Incoming",3
"365","Arkansas State","S","Outgoing",3
"366","Arkansas State","S","Delta",0
"367","Arkansas State","TE","Incoming",2
"368","Arkansas State","TE","Outgoing",2
"369","Arkansas State","TE","Delta",0
"370","Arkansas State","WR","Incoming",4
"371","Arkansas State","WR","Outgoing",4
"372","Arkansas State","WR","Delta",0
"373","Arkansas-Pine Bluff","CB","Incoming",0
"374","Arkansas-Pine Bluff","CB","Outgoing",1
"375","Arkansas-Pine Bluff","CB","Delta",-1
"376","Arkansas-Pine Bluff","EDGE","Incoming",0
"377","Arkansas-Pine Bluff","EDGE","Outgoing",1
"378","Arkansas-Pine Bluff","EDGE","Delta",-1
"379","Arkansas-Pine Bluff","IOL","Incoming",0
"380","Arkansas-Pine Bluff","IOL","Outgoing",1
"381","Arkansas-Pine Bluff","IOL","Delta",-1
"382","Arkansas-Pine Bluff","QB","Incoming",0
"383","Arkansas-Pine Bluff","QB","Outgoing",1
"384","Arkansas-Pine Bluff","QB","Delta",-1
"385","Arkansas-Pine Bluff","WR","Incoming",1
"386","Arkansas-Pine Bluff","WR","Outgoing",2
"387","Arkansas-Pine Bluff","WR","Delta",-1
"388","Army","CB","Incoming",0
"389","Army","CB","Outgoing",1
"390","Army","CB","Delta",-1
"391","Army","DL","Incoming",0
"392","Army","DL","Outgoing",1
"393","Army","DL","Delta",-1
"394","Army","EDGE","Incoming",0
"395","Army","EDGE","Outgoing",1
"396","Army","EDGE","Delta",-1
"397","Army","LB","Incoming",0
"398","Army","LB","Outgoing",1
"399","Army","LB","Delta",-1
"400","Army","QB","Incoming",0
"401","Army","QB","Outgoing",1
"402","Army","QB","Delta",-1
"403","Army","RB","Incoming",0
"404","Army","RB","Outgoing",2
"405","Army","RB","Delta",-2
"406","Army","WR","Incoming",0
"407","Army","WR","Outgoing",1
"408","Army","WR","Delta",-1
